"indID","sex","min_age","broodID","pairID","mateID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC","laydate","Nestbag"
5117102,"F",5,"pir107","5117102_5563276",5563276,2010,5,61,12.2,"F",11.818649,0.290652,12.392484,0.207937,0.834821,130,1
5117103,"F",3,"pir155","5117103_NA",NA,2007,10,64,6.4,"F",13.434272,0.371964,18.022157,0.201969,0.586672,111,1
5117211,"M",3,"pir29","NA_5117211",NA,2007,5,75,15,"F",13.768886,0.414505,14.595464,0.210395,0.853451,125,1
5117382,"M",3,"pir28","5545370_5117382",5545370,2010,7,103,14.71,"F",17.444792,0.352145,12.33752,0.221764,0.778431,124,1
5117389,"M",3,"pir113","5597339_5117389",5597339,2010,6,108,18,"F",18.490009,0.319681,19.243888,0.219291,0.665525,NA,1
5117389,"M",4,"pir112","5994622_5117389",5994622,2011,5,0,0,"C",16.390209,0.355112,16.997613,0.27314,0.775412,125,1
5117560,"F",3,"pir102","5117560_5117559",5117559,2009,3,47,15.67,"F",12.762314,0.360624,18.332585,0.206097,0.812368,NA,1
5117560,"F",4,"pir98","5117560_NA",NA,2010,7,40,5.71,"F",10.876707,0.30104,19.511644,0.202492,0.73865,NA,1
5117561,"M",3,"pir92","5117785_5117561",5117785,2009,5,49,9.8,"F",24.136831,0.35568,19.957861,0.228604,0.857596,NA,1
5117562,"F",2,"pir52","5117562_5117792",5117792,2009,5,58,11.6,"F",7.766148,0.428932,14.303361,0.187559,0.368687,NA,1
5117562,"F",3,"pir54","5117562_5117792",5117792,2010,9,121,13.44,"F",10.498862,0.321802,14.464968,0.212378,0.746964,NA,1
5117575,"F",2,"pir96","5117575_5563663",5563663,2009,7,121,17.29,"F",23.834121,0.344801,18.121808,0.218826,0.891136,127,2
5117575,"F",3,"pir96","5117575_4736736",4736736,2010,7,58,8.29,"F",12.275156,0.314711,16.977685,0.193473,0.781236,133,1
5117599,"M",3,"pir240","5117600_5117599",5117600,2010,7,84,12,"F",20.759694,0.355322,15.149454,0.212311,0.862291,123,1
5117599,"M",5,"pir239","5597836_5117599",5597836,2012,7,57,8.14,"C",19.463613,0.37224,14.658993,0.256431,0.744953,127,1
5117602,"M",5,"pir119","5563558_5117602",5563558,2010,7,44,6.29,"F",13.863988,0.311093,13.781507,0.209257,0.756656,122,1
5117602,"M",6,"pir119","NA_5117602",NA,2011,6,50,8.33,"F",11.318951,0.3236,11.533387,0.21515,0.770092,119,1
5117635,"F",4,"pir27","5117635_5117574",5117574,2009,4,76,19,"F",14.053694,0.389327,13.203689,0.203946,0.893369,NA,1
5117635,"F",5,"pir34","5117635_5597100",5597100,2010,4,43,10.75,"F",14.304058,0.309741,21.338934,0.213662,0.654128,122,1
5117792,"M",3,"pir55","5563284_5117792",5563284,2008,7,35,5,"F",18.306947,0.448076,20.86739,0.238913,0.899502,NA,1
5117792,"M",4,"pir52","5117562_5117792",5117562,2009,5,58,11.6,"F",13.38709,0.431779,14.620729,0.190263,0.823974,NA,1
5117792,"M",5,"pir54","5117562_5117792",5117562,2010,9,121,13.44,"F",14.945244,0.36083,20.385612,0.224585,0.731544,NA,1
5117792,"M",6,"pir60","5117562_5117792",5117562,2011,7,86,12.29,"F",16.171254,0.373229,13.653572,0.211396,0.56095,NA,1
5117793,"F",4,"pir46","5117793_5563610",5563610,2009,6,56,9.33,"F",8.327934,0.388509,14.791328,0.222051,0.737497,NA,1
5118772,"M",3,"pir6","5563151_5118772",5563151,2010,7,75,10.71,"F",16.028615,0.352604,16.656612,0.189995,0.778105,125,1
5118772,"M",4,"pir8","5545392_5118772",5545392,2011,6,65,10.83,"F",12.609539,0.383276,13.670008,0.211466,0.849372,NA,1
5118822,"M",3,"pir235","5597690_5118822",5597690,2010,6,28,4.67,"F",13.817506,0.333875,15.648274,0.215948,0.816759,125,1
5118833,"M",4,"pir121","5597339_5118833",5597339,2011,3,30,10,"F",6.851455,0.383448,14.658767,0.205252,0.815547,140,1
5118838,"F",2,"pir29","5118838_5117580",5117580,2009,7,101,14.43,"F",10.921681,0.367895,16.769339,0.212441,0.875772,127,1
5118840,"F",2,"pir77","5118840_4958986",4958986,2009,4,46,11.5,"F",15.388342,0.394087,15.400565,0.209755,0.668003,NA,1
5118840,"F",3,"pir232","5118840_NA",NA,2010,7,42,6,"F",16.922827,0.350069,19.081708,0.207013,0.626316,123,1
5118840,"F",4,"pir46","5118840_5563934",5563934,2011,8,50,6.25,"F",7.575554,0.347814,24.173331,0.202714,0.540728,120,1
5118840,"F",5,"pir126","5118840_5597070",5597070,2012,6,31,5.17,"F",12.561866,0.350749,14.408833,0.206704,0.621241,NA,1
5118840,"F",6,"pir127","5118840_3661548",3661548,2013,6,55,9.17,"F",20.472594,0.378323,17.805704,0.230349,0.625628,NA,1
