"indID","sex","broodID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC","laydate","Nestbag"
7975140,"M","pir12",2016,6,67,11.17,"F",14.2777976862944,0.333029298532021,11.2843419968003,0.242308359810695,0.685656233481658,117,1
7975144,"F","pir12",2016,6,67,11.17,"C",4.57134849727122,0.30021877620282,12.4433082933089,0.222160420569871,0.767372485475,117,1
8183567,"M","pir246",2017,8,69,8.62,"C",12.025186511107,0.322102259337536,11.5155177302792,0.222824188592019,0.517535654092944,107,1
8183571,"F","pir246",2017,8,69,8.62,"F",8.88503447955317,0.282594114061152,21.363048995226,0.182701564749947,0.727296277474976,107,1
8183576,"F","pir230",2017,7,108,15.43,"C",6.34456492154443,0.329743470467152,10.5569609553429,0.226039817877836,0.759506136817909,109,1
8183590,"F","pir74",2017,8,69,8.62,"C",8.47138304823712,0.313082858334432,8.766432410337,0.213034151023316,0.836714684696135,109,1
8183641,"M","tua210",2017,4,41,10.25,"C",14.9601637593938,0.329088508333015,9.73718539584779,0.22338136933395,0.780627078919218,108,1
8183649,"M","pir139",2017,7,73,10.43,"C",9.21401405584212,0.318709127067514,10.8123432171359,0.232411464149947,0.654137368676442,110,1
8183678,"F","pir43",2017,6,12,2,"C",7.97273800010481,0.299294421064459,11.3695435744272,0.229604797526669,0.689597234810703,112,1
8183683,"F","pir55",2017,5,35,7,"F",8.40167641069494,0.274279530768459,13.9422902245076,0.180228865969962,0.665572229885176,114,1
8183715,"M","pir71",2017,6,42,7,"F",10.2733382609549,0.360511160764847,10.7405281605665,0.193845778390616,0.768363585489864,118,1
8183838,"F","pir45",2017,7,6,0.86,"F",10.0608408573506,0.301859718060805,14.6480270686221,0.189444689424167,0.734689127088759,105,1
8183840,"F","pir45",2017,7,6,0.86,"C",10.4884707608416,0.304642920213987,11.1767929368238,0.235487343558912,0.53010254359472,105,1
8183867,"M","pir49",2017,6,110,18.33,"C",8.27791786285365,0.323605678178318,10.0379119590236,0.202032434704745,0.875996429927666,109,1
